1000 is a False Positive, It has not been inserted
little is a True Positive, It had been inserted
women is a True Positive, It had been inserted
meg is a True Positive, It had been inserted
jo is a true negative,it has never been inserted before
beth is a true negative,it has never been inserted before
and is a True Positive, It had been inserted
amy is a true negative,it has never been inserted before
louisa is a False Positive, It has not been inserted
m is a True Positive, It had been inserted
alcott is a False Positive, It has not been inserted
illustration is a true negative,it has never been inserted before
they is a True Positive, It had been inserted
all is a True Positive, It had been inserted
drew is a True Positive, It had been inserted
to is a True Positive, It had been inserted
the is a True Positive, It had been inserted
fire is a True Positive, It had been inserted
mother is a True Positive, It had been inserted
in is a True Positive, It had been inserted
big is a True Positive, It had been inserted
chair is a True Positive, It had been inserted
with is a True Positive, It had been inserted
at is a True Positive, It had been inserted
her is a True Positive, It had been inserted
feet is a True Positive, It had been inserted
see is a True Positive, It had been inserted
page is a True Positive, It had been inserted
9 is a True Positive, It had been inserted
frontispiece is a true negative,it has never been inserted before
or is a True Positive, It had been inserted
by is a True Positive, It had been inserted
author is a True Positive, It had been inserted
of is a True Positive, It had been inserted
men is a True Positive, It had been inserted
an is a True Positive, It had been inserted
old-fashioned is a true negative,it has never been inserted before
girl is a True Positive, It had been inserted
spinning-wheel is a true negative,it has never been inserted before
stories is a True Positive, It had been inserted
etc is a True Positive, It had been inserted
_with is a True Positive, It had been inserted
more is a True Positive, It had been inserted
than is a True Positive, It had been inserted
200 is a True Positive, It had been inserted
illustrations is a true negative,it has never been inserted before
frank is a True Positive, It had been inserted
t is a True Positive, It had been inserted
merrill is a False Positive, It has not been inserted
a is a True Positive, It had been inserted
picture is a True Positive, It had been inserted
home is a True Positive, It had been inserted
edmund is a True Positive, It had been inserted
h is a True Positive, It had been inserted
garrett_ is a False Positive, It has not been inserted
boston is a true negative,it has never been inserted before
brown is a True Positive, It had been inserted
company is a True Positive, It had been inserted
entered is a True Positive, It had been inserted
according is a True Positive, It had been inserted
act is a True Positive, It had been inserted
congress is a true negative,it has never been inserted before
years is a True Positive, It had been inserted
1868 is a true negative,it has never been inserted before
1869 is a true negative,it has never been inserted before
clerk's is a true negative,it has never been inserted before
office is a True Positive, It had been inserted
district is a true negative,it has never been inserted before
court is a True Positive, It had been inserted
massachusetts is a true negative,it has never been inserted before
_copyright is a False Positive, It has not been inserted
1880_ is a true negative,it has never been inserted before
1896_ is a true negative,it has never been inserted before
john is a True Positive, It had been inserted
s is a True Positive, It had been inserted
p is a true negative,it has never been inserted before
alfred is a False Positive, It has not been inserted
mudge is a true negative,it has never been inserted before
& is a True Positive, It had been inserted
son is a True Positive, It had been inserted
inc is a true negative,it has never been inserted before
printers is a False Positive, It has not been inserted
preface is a true negative,it has never been inserted before
_go is a true negative,it has never been inserted before
then is a True Positive, It had been inserted
my is a True Positive, It had been inserted
book is a True Positive, It had been inserted
show is a True Positive, It had been inserted
that is a True Positive, It had been inserted
entertain is a True Positive, It had been inserted
bid is a True Positive, It had been inserted
thee is a True Positive, It had been inserted
welcome is a True Positive, It had been inserted
shall is a True Positive, It had been inserted
what is a True Positive, It had been inserted
thou is a True Positive, It had been inserted
dost is a True Positive, It had been inserted
keep is a True Positive, It had been inserted
close is a True Positive, It had been inserted
shut is a True Positive, It had been inserted
up is a True Positive, It had been inserted
thy is a True Positive, It had been inserted
breast is a True Positive, It had been inserted
wish is a True Positive, It had been inserted
them is a True Positive, It had been inserted
may is a True Positive, It had been inserted
be is a True Positive, It had been inserted
blest is a True Positive, It had been inserted
for is a True Positive, It had been inserted
good is a True Positive, It had been inserted
make is a True Positive, It had been inserted
choose is a True Positive, It had been inserted
pilgrims is a True Positive, It had been inserted
better is a True Positive, It had been inserted
far is a True Positive, It had been inserted
me is a True Positive, It had been inserted
tell is a True Positive, It had been inserted
mercy is a True Positive, It had been inserted
she is a True Positive, It had been inserted
is is a True Positive, It had been inserted
one is a True Positive, It had been inserted
